Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Kolaigaran,2019.0,109.0,7.1,1242.0,"Action, Crime, Drama",tamil
Aalolam Kili,2002.0,137.5,6.4,10.0,Unknown,malayalam
Nishant,1975.0,140.0,7.6,535.0,"Crime, Drama",hindi
Dhrubo,1934.0,126.0,6.9,24.0,Drama,bengali
9 Thirudargal,2015.0,117.0,6.1,42.0,Comedy,tamil
Char Aankhen,1946.0,137.5,6.4,10.0,Unknown,hindi
Kaalachakram,1973.0,127.0,5.9,8.0,Unknown,malayalam
Dagabaaz Dost,1947.0,137.5,6.4,10.0,Unknown,hindi
Madhuchandralekha,2006.0,153.0,3.5,110.0,"Comedy, Drama, Musical",malayalam
Kaaval Geetham,1992.0,124.0,6.2,5.0,Unknown,tamil
Mudhal Mudhal Mudhal Varai,2009.0,140.0,6.9,24.0,Drama,hindi
Payana,2008.0,126.0,6.9,24.0,Drama,kannada
Kanchan,1941.0,137.5,6.4,10.0,Unknown,hindi
Baghi Sher,1983.0,137.5,6.4,10.0,Unknown,punjabi
Raajadhaani,2011.0,134.0,6.5,95.0,"Action, Crime, Drama",kannada
Once More,1997.0,160.0,6.1,616.0,"Comedy, Drama, Romance",tamil
Dil Pardesi Ho Gaya,2013.0,144.0,1.6,5.0,Drama,punjabi
Dil Ki Kare,2006.0,130.0,6.9,24.0,Drama,punjabi
Telephone,2016.0,126.0,6.9,24.0,Drama,bengali
Lutera,1955.0,137.5,6.4,10.0,Unknown,hindi
Baghi te Farangi,1982.0,137.5,6.4,10.0,Unknown,punjabi
Swarga Puthri,1973.0,137.5,6.4,10.0,Unknown,malayalam
Aamar Desh,1962.0,137.0,5.8,5.0,Action,bengali
Let's Dance,2009.0,125.0,5.7,19.0,"Crime, Drama, Musical",hindi
Shabbas Sunbai,1986.0,126.0,6.9,24.0,Drama,marathi
Mujhe Jeene Do,1963.0,95.0,7.5,76.0,"Action, Crime, Drama",hindi
Bisile,2010.0,128.0,6.2,10.0,"Comedy, Drama",kannada
Lal Baadshah,1999.0,180.0,3.3,582.0,"Action, Drama",hindi
Khel,1950.0,126.0,7.8,11.0,Drama,hindi
Partha,2003.0,147.0,7.1,66.0,"Action, Romance",kannada
Kumkum Pagla,1972.0,126.0,6.9,24.0,Drama,gujarati
Uribo,2018.0,66.0,6.6,25.0,"Drama, Family",hindi
Postmane Kananilla,1972.0,139.0,6.8,92.0,"Drama, Music",malayalam
Simla Road,1969.0,130.5,6.0,5.0,"Action, Crime, Mystery",hindi
Umasundari,1956.0,169.0,6.4,10.0,Unknown,telugu
School Dairy,2018.0,137.5,6.4,10.0,Unknown,malayalam
Punyam,2001.0,122.0,6.9,24.0,Drama,malayalam
Wedding Season,,134.5,6.1,164.0,"Comedy, Romance",hindi
Pehli Mulaqat,1957.0,123.0,6.9,24.0,Drama,hindi
Anadha Silpangal,1971.0,137.5,6.4,10.0,Unknown,malayalam
Black & White,2015.0,50.0,6.9,24.0,Drama,hindi
Hotba Jawani Ab Jiyan Ae Rajaji,2011.0,137.5,6.4,10.0,Unknown,bhojpuri
Krishna Leela,1946.0,137.5,6.4,9.0,Unknown,hindi
Kaala Koothu,2018.0,122.0,5.8,77.0,Action,tamil
Tujhe Meri Kasam,2003.0,155.0,6.4,362.0,Romance,hindi
CHAMPION,2018.0,137.0,5.5,21.0,Action,bhojpuri
Pelli Chesukundam,1997.0,140.0,6.7,89.0,Drama,telugu
Nikhdoo,2019.0,101.0,6.55,35.5,"Drama, Family, Romance",hindi
Jeevan Saathi,1949.0,137.5,6.4,10.0,Unknown,hindi
Criminals,1987.0,130.0,6.6,10.0,Musical,malayalam
Shanti Kranti,1991.0,142.0,6.9,99.0,"Action, Musical, Romance",telugu
Kutumba Bandham,1985.0,137.5,6.4,10.0,Unknown,telugu
Dev Anand in Goa (Alias Farar),1955.0,148.0,5.8,16.0,"Action, Drama, Romance",kashmiri
Jor,2008.0,130.0,6.4,61.0,"Action, Drama, Romance",bengali
Avalukkendru Oor Manam,1971.0,123.0,6.8,6.0,Unknown,tamil
Mitrudu,2009.0,126.0,4.3,132.0,Drama,telugu
Nanma Niranjavan Srinivasan,1990.0,128.0,6.2,68.0,"Comedy, Drama",malayalam
Aalemane,1981.0,107.0,6.9,10.0,"Drama, Thriller",kannada
Jawahire Hind,1937.0,137.5,6.4,10.0,Unknown,hindi
Annai,2000.0,113.0,6.9,24.0,Drama,tamil
Johar-E-Shamsheer,1934.0,137.5,6.4,10.0,Unknown,hindi
Telugu Veera Levara,1995.0,126.0,7.1,21.0,Drama,telugu
Boom Boom Madu,1982.0,137.5,6.4,10.0,Unknown,tamil
Pita Putra,1969.0,129.0,6.9,24.0,Drama,bengali
Herogiri,2020.0,126.0,6.9,24.0,Drama,bhojpuri
Kathmandu,2011.0,124.0,6.7,19.0,Family,nepali
Nuvvu Naaku Nachchav,2001.0,184.0,8.7,3951.0,"Comedy, Romance",telugu
Bakara,2013.0,137.0,5.5,21.0,Action,telugu
Badman,2016.0,84.0,4.3,29.0,"Comedy, Drama",hindi
Velathaan,2020.0,118.0,6.9,24.0,Drama,malayalam
Statement,2018.0,124.0,6.9,24.0,Drama,kannada
Parivarthanam,1977.0,137.5,6.4,10.0,Unknown,malayalam
Theyya Theyyam,2014.0,90.0,6.9,24.0,Drama,malayalam
Mirch,2010.0,105.0,6.5,852.0,"Comedy, Drama, Fantasy",hindi
Rama Shama Bhama,2005.0,180.0,7.8,460.0,Comedy,kannada
Captain,1999.0,137.5,6.4,10.0,Unknown,malayalam
Raktha Gulabi,2021.0,132.0,9.4,126.0,Crime,kannada
De De Pyaar De,2019.0,135.0,6.6,7139.0,"Comedy, Drama, Romance",hindi
Chakrapani,1954.0,171.0,8.0,10.0,"Comedy, Drama",telugu
Railway Station,2012.0,103.0,6.9,24.0,Drama,telugu
"The Tortoise, an Incarnation",2012.0,125.0,7.5,18.0,Unknown,kannada
Meghla Akash,2001.0,157.0,7.5,11.0,"Drama, Family",bengali
Gaalipata 2,2019.0,133.0,6.2,31.0,Romance,kannada
Sanjhi Hathkadi,1986.0,137.5,6.4,10.0,Unknown,punjabi
Moti Mahal,1977.0,126.0,6.9,24.0,Drama,bengali
San 1981,2019.0,112.0,5.5,21.0,Action,marathi
Iru Kodugal,1969.0,169.0,7.1,46.0,Unknown,tamil
Kadhavaseshan,2004.0,126.0,7.2,203.0,Drama,malayalam
Aastha: In the Prison of Spring,1997.0,132.0,6.4,170.0,Drama,hindi
Rocky,2020.0,126.0,6.9,24.0,Drama,tamil
Tinku & Tina,2008.0,11.0,7.6,16.0,"Animation, Short, Family",oriya
Mahanagari,2010.0,126.0,6.9,24.0,Drama,bengali
Peruchazhi,2014.0,151.0,4.0,783.0,Comedy,malayalam
Aadarniy Pitaji,2020.0,124.0,6.5,18.0,Family,hindi
Raavan,1984.0,132.0,7.1,35.0,"Drama, Family",hindi
Priyappetta Kukkoo,1992.0,126.0,5.2,19.0,Drama,malayalam
Nirmala,1948.0,126.0,6.9,24.0,Drama,malayalam
Gangster Vs State,2019.0,119.0,6.2,13.0,Action,punjabi
Victory,2013.0,130.0,7.2,130.0,Comedy,kannada
Thalirukal,1967.0,137.5,6.4,10.0,Unknown,malayalam
Mullillatha Roja,1982.0,126.0,6.9,24.0,Drama,tamil
Keratam,2011.0,133.0,6.2,31.0,Romance,telugu
Yeh Suhaagraat Impossible,2019.0,92.0,8.7,499.0,Comedy,hindi
Haasil,2003.0,160.0,7.6,2778.0,"Crime, Drama, Romance",hindi
Sakshyam,1995.0,131.0,4.7,13.0,Drama,malayalam
Aattakatha,2013.0,135.0,6.7,61.5,"Drama, Romance",malayalam
Chhadke,2013.0,125.0,6.9,84.0,"Action, Thriller",nepali
Burrraahh,2012.0,121.0,6.3,63.0,Comedy,punjabi
Kaira,2018.0,133.0,7.0,8.0,Romance,nepali
Munafiq,2020.0,136.0,7.7,13.0,"Drama, Romance",urdu
Kapata Nataka Paatradhaari,2019.0,116.0,6.8,62.0,Drama,kannada
Paalam,1983.0,137.5,6.4,10.0,Unknown,malayalam
Aaj Ka Aladdin,1935.0,137.5,6.0,5.0,Unknown,hindi
Mirza Saheban,1956.0,137.5,6.4,10.0,Unknown,urdu
Jeeva,2014.0,127.0,7.5,1026.0,"Drama, Sport",tamil
Ishq Ibadat,2011.0,126.0,6.9,24.0,Drama,urdu
Thaali Kattu Subhavela,1997.0,124.0,6.5,18.0,Family,telugu
Pithavum Kanyakayum,2013.0,90.0,3.0,8.0,Drama,malayalam
Saarathi,2011.0,166.0,7.2,504.0,"Action, Drama, Romance",kannada
Eththan,2011.0,142.0,5.0,50.0,"Comedy, Drama, Romance",tamil
Guddu Ki Gun,2015.0,130.0,4.6,656.0,Comedy,hindi
Yaara Dildara,1991.0,160.0,7.4,47.0,"Romance, Drama, Family",hindi
The Sahir Show,2010.0,120.0,6.1,42.0,Comedy,urdu
Roll No. 56,2017.0,102.0,5.8,28.0,Drama,gujarati
Uski Tamanna,1939.0,126.0,6.9,24.0,Drama,hindi
Chaahat Ki Lahariyon,2001.0,133.0,6.2,31.0,Romance,hindi
Three Daughters,1961.0,114.0,8.1,1348.0,"Comedy, Drama, Fantasy",bengali
Priyapettavar,2018.0,125.0,5.1,21.0,Drama,malayalam
Love and War,1990.0,133.0,6.2,31.0,Romance,hindi
Sankeerthana,1987.0,136.0,7.4,24.0,"Drama, Romance",telugu
Pesuvoma,2005.0,130.0,6.9,24.0,Drama,tamil
The Line of Freedom,2013.0,12.0,8.5,138.0,"Short, Drama, Thriller",urdu
Sagale Sarkhech,1992.0,147.0,6.4,10.0,Unknown,marathi
Lok Parlok,1979.0,148.0,6.1,74.0,"Action, Comedy, Drama",hindi
Jogajog,1988.0,141.0,6.6,25.0,"Drama, Family",bengali
Giri Kanye,1977.0,138.0,8.2,31.0,Drama,kannada
Samna,2001.0,137.0,5.5,21.0,Action,hindi
Chennamma IPS,2011.0,126.0,6.9,24.0,Drama,kannada
Bahadur Bachhe,1977.0,126.0,6.9,24.0,Drama,hindi
Sri Raja Rajeswari,2001.0,150.0,4.5,11.0,Action,telugu
Thillana Thillana,2003.0,118.0,3.2,48.0,"Comedy, Romance",malayalam
Projapoti,2011.0,114.0,5.5,170.0,Romance,bengali
Nanna Prayashchitta,1978.0,137.5,6.4,10.0,Unknown,kannada
Mere hathon ki lakeeron main,2018.0,7.0,8.5,16.5,"Short, Romance",urdu
Mudhal Aasai,2005.0,135.0,6.9,24.0,Drama,kannada
Naayak,2013.0,153.0,5.5,2883.0,"Action, Drama",telugu
Manchi Donga,1988.0,147.0,4.9,106.0,"Action, Drama, Romance",telugu
Qasam Us Waqt Ki,1969.0,137.5,2.7,15.0,Unknown,urdu
The Last Koan,2019.0,100.0,4.2,33.0,"Drama, Fantasy, Thriller",hindi
Madhuram,2002.0,133.0,6.2,31.0,Romance,malayalam
Habari,1979.0,137.0,6.7,9.0,Action,hindi
Kalaposhakulu,2021.0,137.5,6.4,10.0,Unknown,telugu
Manithan,2016.0,150.0,6.9,1031.0,"Drama, Thriller",tamil
Untimely,2020.0,78.0,8.9,28.0,Drama,urdu
Sher Shivaji,1987.0,126.0,6.6,11.0,History,hindi
The Kalasha and the Crescent,2013.0,13.0,5.8,5.0,"Documentary, Short, Drama",urdu
Masud Rana,1974.0,139.0,7.6,21.0,"Action, Thriller",bengali
Addadari,1968.0,138.0,6.4,10.0,Unknown,kannada
PARANGI,2021.0,124.0,6.5,18.0,Family,kannada
Crook: It's Good to Be Bad,2010.0,121.0,5.1,1940.0,"Action, Drama, Thriller",hindi
Koyil Puraa,1981.0,123.0,6.4,10.0,Unknown,tamil
Raja-Saja,1960.0,126.0,6.7,15.0,Drama,bengali
Aggi Meeda Guggilam,1968.0,166.0,6.6,15.0,Fantasy,telugu
Password,2020.0,50.0,6.2,31.0,Romance,bengali
Munjaneya Manju,1993.0,154.0,6.8,5.0,"Crime, Thriller",kannada
Khadim-E-Zuljinah,2006.0,13.0,8.4,9.0,"Documentary, Short",urdu
The Legend of Shankhadhar,2016.0,55.0,7.6,16.0,"Animation, Biography, Drama",nepali
Bachao - Inside Bhoot Hai...,2010.0,112.0,5.4,10.0,Horror,hindi
Alinagarer Golokdhadha,2018.0,139.0,7.1,505.0,Adventure,bengali
Ottakkayyan,2007.0,79.0,5.8,5.0,Thriller,malayalam
Kati Maya by Intake Beats,2013.0,5.0,8.0,17.0,"Short, Music",nepali
Hijrat,2016.0,136.0,6.9,116.0,"Romance, Thriller",oriya
Aptha,2011.0,126.0,6.9,24.0,Drama,kannada
Mahakavi Kalidas,1966.0,150.0,7.1,14.0,"Biography, Drama",tamil
Entha Manchivaadavuraa,2020.0,152.0,5.4,271.0,"Action, Drama",telugu
Barefoot to Goa,2015.0,80.0,5.7,147.0,"Adventure, Drama, Family",hindi
Target,1995.0,122.0,7.7,72.0,Drama,hindi
Super Senior Heroes,2020.0,126.0,6.9,24.0,Drama,tamil
Cheppave Chirugali,2004.0,152.0,7.0,34.0,Romance,telugu
Doraemon: Nobita no Parareru saiyûki,1988.0,90.0,6.8,216.0,"Animation, Adventure, Family",hindi
Nivdung,1989.0,132.0,6.6,25.0,"Drama, Family",marathi
Padakkam,2015.0,15.0,7.8,10.0,"Short, Drama",malayalam
Pixelia,2018.0,70.0,5.8,9.0,Drama,malayalam
Ghabrahat,1989.0,112.0,5.0,22.0,Horror,hindi
Zabak,1962.0,141.5,5.9,16.0,"Action, Adventure, Comedy",hindi
Four First Nights,1990.0,137.5,6.4,10.0,Unknown,malayalam
Ready Steady Bhaag,2015.0,95.0,7.7,21.0,"Comedy, Musical, Romance",urdu
College Cafe,2017.0,145.0,6.4,10.0,Unknown,marathi
Khali Purse of the Billionaires,2021.0,130.0,6.1,42.0,Comedy,malayalam
Nee Kosam,1999.0,122.0,6.3,43.0,Romance,telugu
Time Pass,2005.0,88.0,4.2,34.0,Romance,hindi
Farz Ki Pukaar,1999.0,137.0,5.5,21.0,Action,hindi
Tessri Gali,1958.0,137.5,6.4,10.0,Unknown,hindi
Garjinchina Ganga,1988.0,118.0,5.5,21.0,Action,telugu
Thamizh Padam,2010.0,160.0,7.3,825.0,Comedy,tamil
Vimukthi,2010.0,102.0,7.4,8.0,Family,kannada
Tanhai,1972.0,136.0,6.7,61.5,"Drama, Romance",hindi
Kinavally,2018.0,141.0,6.5,625.0,"Comedy, Horror, Mystery",malayalam
Showgirls of Pakistan,2020.0,106.0,8.7,29.0,Documentary,oriya
Apron Strings,2008.0,90.0,6.6,119.0,Drama,punjabi
Janam Jali,2014.0,137.5,6.4,10.0,Unknown,urdu
Qatil,1970.0,137.5,6.4,10.0,Unknown,hindi
Kaafir,1968.0,126.0,6.9,24.0,Drama,hindi
Ahetuk,2015.0,137.0,7.4,14.0,"Drama, Romance, Thriller",assamese
Used,2019.0,57.0,7.1,20.0,"Drama, Thriller",hindi
Gowri Kalyanam,1983.0,137.5,5.8,6.0,Unknown,tamil
Annaya Attayachar,2004.0,159.0,5.2,5.0,"Action, Drama, Romance",bengali
Jontor Montor,1982.0,135.5,6.6,15.0,Fantasy,bengali
En Ullam Unnai Theduthe,2010.0,111.0,6.9,24.0,Drama,tamil
Lalten,1956.0,136.0,6.7,61.5,"Drama, Romance",hindi
Sarada,1973.0,166.0,7.7,19.0,Drama,telugu
Zorawar,2016.0,151.0,4.3,243.0,"Action, Crime, Drama",punjabi
Do Pal,1991.0,133.0,6.2,31.0,Romance,hindi
Parinati,2001.0,130.0,6.9,24.0,Drama,bengali
Munda Faridkotia,2019.0,131.0,6.0,50.0,"Comedy, Drama, Family",punjabi
Thambikku Oru Paattu,1991.0,137.5,6.4,10.0,Unknown,tamil
Matwali Sali,2001.0,120.0,6.0,32.0,Thriller,hindi
Yengal Kural,1985.0,136.0,6.4,10.0,Unknown,tamil
Hello My Dear Wrong Number 2,2020.0,5.0,8.2,11.0,"Short, Musical",malayalam
Fukrey Boyzzz: Space Mein Fukrapanti,2020.0,74.0,6.4,554.0,"Animation, Comedy, Family",hindi
Leera the Soulmate,2018.0,104.0,7.9,1434.0,Sci-Fi,hindi
Sujata,1960.0,161.0,7.3,322.0,"Drama, Romance",hindi
Iyarkai,2003.0,142.0,7.4,352.0,"Drama, Romance",tamil
Iti Srikanta,2004.0,125.0,7.2,106.0,Drama,bengali
Meri Aashiqui,2005.0,133.0,5.1,19.0,Romance,hindi
Achanurangatha Veedu,2006.0,120.0,7.0,179.0,Drama,malayalam
Saami Potta Mudhichhu,1991.0,124.0,6.4,10.0,Unknown,tamil
Olangal,1982.0,126.0,7.6,33.0,Drama,malayalam
Myoho,2012.0,120.0,6.5,13.0,Drama,hindi
Ramudu Kadu Rakshasudu,1991.0,137.5,6.4,10.0,Unknown,telugu
Jhoothi,1985.0,136.0,6.6,128.0,Comedy,hindi
Aakashvani,2016.0,113.0,5.1,72.0,"Comedy, Drama, Thriller",malayalam
Bijli Chamke Jamna Paar,1962.0,144.0,6.0,77.0,"Action, Drama",hindi
Boond,2001.0,137.0,4.6,9.0,"Action, Crime, Drama",hindi
Haveli,1970.0,121.0,6.05,15.0,Mystery,hindi
Real Story,2000.0,121.0,6.05,15.0,Mystery,telugu
Man Push Cart,2005.0,87.0,7.0,3141.0,Drama,oriya
This is not a Documentary!,2015.0,66.0,6.0,32.0,Thriller,bengali
Yaanam,2013.0,126.0,6.9,24.0,Drama,malayalam
Sajani,1956.0,126.0,6.9,24.0,Drama,hindi
Dhanavantulu Gunavantulu,1974.0,116.0,6.9,24.0,Drama,telugu
Sartaj Mera Tu Raaj Mera,2015.0,137.5,6.4,10.0,Unknown,urdu
Routtu,2020.0,140.0,7.1,19.0,Drama,tamil
Yeh Pyaas Nahi Bhujhti,2000.0,120.0,6.0,32.0,Thriller,hindi
Marina Puratchi,2019.0,76.0,6.4,18.0,Drama,tamil
Janmatithi,1957.0,126.0,8.1,7.0,Drama,bengali
Vacation,2005.0,126.0,6.9,24.0,Drama,malayalam
Nakhachithrangal,2002.0,133.0,6.2,31.0,Romance,malayalam
Sakshal Sreeman Chathunni,1993.0,137.5,6.4,38.0,Unknown,malayalam
Oru Second Class Yathra,2015.0,104.0,5.3,305.0,Drama,malayalam
BOL Nights,2019.0,50.0,7.2,11.0,Talk-Show,urdu
Gudumana Avathara,2020.0,129.0,6.9,24.0,Drama,kannada
Thirakkatha,2008.0,120.0,7.5,579.0,"Drama, Romance",malayalam
Entha Vaaralainaa,2019.0,121.0,6.9,24.0,Drama,telugu
Rajkumari,1955.0,137.5,6.4,10.0,Unknown,hindi
Uljhan,1975.0,137.0,6.5,82.0,Mystery,hindi
Attique Chishti,2019.0,130.0,6.1,42.0,Comedy,urdu
Madakkayathra,1985.0,137.5,6.4,10.0,Unknown,malayalam
Maa Vintha Gaadha Vinuma,2020.0,101.0,6.3,224.0,Romance,telugu
Khabarnaak,2010.0,37.0,6.9,29.0,"Comedy, Musical, News",oriya
Hamari Kahani,1970.0,137.5,6.4,10.0,Unknown,hindi
Dashavatar,2008.0,119.0,6.2,105.0,"Animation, Family",hindi
Akhri Chattan,1985.0,700.0,9.5,10.0,History,urdu
The Last Kiss,1931.0,90.0,7.4,16.0,Drama,urdu
Aidondla Aidu,2011.0,126.0,6.9,24.0,Drama,kannada
Swamy,2005.0,148.0,5.4,9.0,Action,kannada
Trisandhya,1990.0,137.5,6.4,10.0,Unknown,malayalam
Ishtamanu Pakshe,1980.0,135.0,6.0,8.0,Unknown,malayalam
Maha Milan,1981.0,133.0,6.2,31.0,Romance,hindi
Waris,1954.0,122.0,6.0,8.0,"Drama, Family",hindi
Nishi Padma,1970.0,90.0,8.0,26.0,Drama,bengali
Valkannadi,2002.0,126.0,5.1,27.0,Drama,malayalam
Pratheekshayode,2012.0,132.0,6.6,25.0,"Drama, Family",malayalam
Baishe Srabon,2011.0,120.0,8.1,4719.0,"Action, Crime, Drama",bengali
The Unbreakables,2014.0,130.0,6.1,42.0,Comedy,urdu
Venkanna Babu,1992.0,137.5,6.4,10.0,Unknown,telugu
Yarivanu?,1984.0,137.5,8.5,36.0,Unknown,kannada
Karnabharam,2013.0,103.0,6.9,24.0,Drama,sanskrit
Vijay,1988.0,172.0,5.6,216.0,"Action, Drama, Romance",hindi
Evanukku Engeyo Matcham Irukku,2018.0,148.0,3.2,95.0,Comedy,tamil
Suno Chanda,2018.0,138.0,8.9,1436.0,"Comedy, Drama, Romance",urdu
Dandupalya 4,2019.0,121.0,7.2,20.0,Romance,kannada
Purab Aur Pachhim,1970.0,142.0,7.4,855.0,"Drama, Romance",hindi
Kisse Pyaar Karoon?,2009.0,123.0,3.3,130.0,"Action, Comedy, Crime",hindi
Ma Amba Gabbarwali,1976.0,132.0,6.9,24.0,Drama,hindi
Kalpaka Nadanam,2016.0,15.0,8.2,9.5,Short,malayalam
Ghulam Begam Badshah,1973.0,123.0,6.2,8.0,"Drama, Family",hindi
Bindaas,2010.0,143.0,6.7,775.0,"Action, Drama, Family",telugu
S3 (Stop Stop Stop),2021.0,133.0,6.2,31.0,Romance,bengali
Sajan Tara Sambharna,1985.0,137.5,6.4,10.0,Unknown,hindi
Preethi Keli Sneha Kaledukollabedi,2018.0,117.0,6.2,31.0,Romance,kannada
Newspaper Boy,1997.0,130.0,3.6,31.0,"Comedy, Drama, Mystery",malayalam
Guru Shisya,2001.0,130.0,7.2,13.0,"Drama, Musical",bengali
Iswarya Murugan,2021.0,126.0,6.9,24.0,Drama,tamil
Idhuvum Kadandhu Pogum,2014.0,54.0,7.7,38.0,"Drama, Family",tamil
IQRA,2019.0,40.0,8.4,9.0,"Documentary, Short",urdu
Namastey London,2007.0,128.0,7.1,20744.0,"Comedy, Drama, Romance",hindi
Annthamma,2021.0,126.0,6.9,24.0,Drama,kannada
Huttidare Kannada Nadali Huttabeku,2008.0,126.0,6.9,24.0,Drama,kannada
Karumbu Vil,1980.0,137.5,6.4,10.0,Unknown,tamil
Chirutha,2007.0,117.0,5.3,1856.0,Action,telugu
Nehle Pe Dehlaa,1976.0,141.5,5.4,32.0,"Action, Crime, Drama",hindi
The Sixth Land,2020.0,95.0,6.9,24.0,Drama,tamil
Wall's Paddle Pop Kids Club,1994.0,45.0,7.2,11.0,Talk-Show,urdu
Mirza Sahiba,1956.0,137.5,6.4,10.0,Unknown,punjabi
Chiranjeevi,1994.0,137.5,6.4,10.0,Unknown,malayalam
Chhath Maiya Ki Mahima,1979.0,127.0,7.9,35.0,"Drama, Fantasy, History",hindi
Dhongee,1979.0,122.0,4.5,22.0,"Action, Comedy, Drama",hindi
Ragam Thedum Pallavi,1982.0,137.5,6.4,10.0,Unknown,tamil
Anarchist: Azad,2017.0,98.0,6.5,21.0,"Drama, Thriller",urdu
Ekbar Bolo Bhalobashi,2010.0,126.0,6.9,24.0,Drama,bengali
Sose Thanda Saubhagya,1977.0,169.0,7.0,12.0,Unknown,kannada
Thiru Ranga,2007.0,125.0,6.9,24.0,Drama,tamil
Vroom,2010.0,130.0,5.4,29.0,"Action, Comedy, Crime",hindi
Sohag Raat,1948.0,143.0,7.2,6.0,"Drama, Romance",hindi
Panthaya Kozhi,2007.0,126.0,5.2,43.0,Drama,malayalam
Goyenda Gogol,2013.0,111.0,6.3,27.0,Adventure,bengali
Najma,1943.0,121.0,7.5,30.0,Drama,oriya
Nestle Nido Young Stars aka Nido Ye Tare Hamare,2008.0,45.0,7.2,11.0,Talk-Show,urdu
Moonnam Pakkam,1988.0,114.0,8.2,970.0,Drama,malayalam
Trijama,1956.0,126.0,6.6,21.0,Drama,bengali
Lekin...,1990.0,171.0,7.6,322.0,"Drama, Fantasy, Musical",hindi
Kiln,2017.0,12.0,8.4,7.0,"Documentary, Short",urdu
Ganga Sangamam,1971.0,137.5,6.4,10.0,Unknown,malayalam
Shuruaat Ka Twist,2019.0,142.0,6.6,9.0,Drama,hindi
Love,2004.0,165.0,6.2,31.0,Romance,telugu
Khar dimagh gujjar,1999.0,137.5,6.4,10.0,Unknown,punjabi
Saubhagyadaan,1980.0,126.0,6.9,24.0,Drama,marathi
Hulchul,1951.0,126.0,7.5,54.0,Drama,hindi
The Film Emotional Atyachar,2010.0,87.0,6.0,290.0,"Comedy, Crime, Drama",hindi
Narak,1991.0,126.0,6.9,24.0,Drama,hindi
Bilqees Kaur,2016.0,137.5,9.1,7.0,Unknown,oriya
Kharabath,2017.0,104.0,6.9,24.0,Drama,kannada
Antima Ghatta,1987.0,136.0,6.4,10.0,Unknown,kannada
Lahori Shahzadi,2006.0,137.5,6.4,10.0,Unknown,punjabi
Aghori,2019.0,126.0,6.9,24.0,Drama,tamil
Soulmate,2021.0,82.0,7.25,581.0,"Comedy, Family, Fantasy",assamese
Hoovu Mullu,1968.0,146.0,6.4,10.0,Unknown,kannada
Suno Na.. Ek Nanhi Aawaz,2009.0,127.0,4.5,6.0,Drama,tamil
Rahasyam,2019.0,100.0,7.0,18.0,"Horror, Thriller",telugu
Pakeezah,1972.0,147.0,7.4,1509.0,"Musical, Romance, Drama",urdu
Knockout,2013.0,130.0,6.2,31.0,Romance,bengali
Lateef,2013.0,118.0,3.4,124.0,"Action, Crime, Drama",hindi
Nidra,2012.0,95.0,6.4,111.0,Drama,malayalam
Keemti Qurbani,1935.0,137.5,6.4,10.0,Unknown,hindi
Silambattam,2008.0,166.0,3.9,379.0,Action,tamil
Sakalakala Vallavan,1982.0,138.0,6.6,214.0,"Action, Comedy, Romance",telugu
The Ground Beneath Their Feet,2015.0,72.0,8.8,24.0,"Documentary, Drama, Family",urdu
Jambo,1981.0,137.0,5.5,21.0,Action,hindi
Doosukeltha,2013.0,161.0,6.5,1281.0,"Action, Comedy",telugu
Aasthulu Anthasthulu,1988.0,137.5,6.4,10.0,Unknown,telugu
Daughters of This Century,2001.0,180.0,7.2,16.0,Unknown,hindi
Raja Gopichand,1938.0,137.5,6.4,10.0,Unknown,hindi
The Girl on the Train,2021.0,120.0,4.3,7244.0,"Crime, Drama, Mystery",hindi
Jinner Badshah,1989.0,117.0,8.1,27.0,"Comedy, Drama",bengali
Miss Coca Cola,1955.0,133.0,6.2,31.0,Romance,hindi
Delhi Mere Baap Ki,2018.0,137.5,6.4,10.0,Unknown,hindi
Dorja,2014.0,69.0,6.0,32.0,Thriller,bengali
Vandikaran Magan,1978.0,137.5,6.4,10.0,Unknown,tamil
Chakravyuham,1992.0,137.5,6.1,7.0,Unknown,tamil
Antha Ezhu Natkal,1981.0,137.0,7.3,179.0,Drama,tamil
Chitra,2015.0,120.0,5.6,7.0,"Romance, Thriller",bengali
Manikka Thothil,1974.0,137.5,6.4,10.0,Unknown,tamil
Johnny Uska Naam,1970.0,137.0,5.5,21.0,Action,hindi
Pagalpan,1991.0,130.0,6.1,42.0,Comedy,hindi
Tumse Achha Kaun Hai,1969.0,108.0,6.5,80.0,"Comedy, Drama, Romance",oriya
Chembaruthi,1992.0,148.0,5.9,54.0,"Action, Drama, Romance",tamil
Aruvi,2016.0,130.0,8.5,11351.0,Drama,tamil
Mohandas,2009.0,112.0,6.7,118.0,Thriller,hindi
Shadow Man,2014.0,120.0,6.0,32.0,Thriller,malayalam
Innaleyolam,2020.0,15.0,7.8,10.0,"Short, Drama",malayalam
Betab,1991.0,137.5,6.4,10.0,Unknown,punjabi
Manasige Mutthittalu,2021.0,127.5,7.6,19.0,Biography,kannada
Pizza,2012.0,127.0,8.0,7062.0,"Horror, Thriller",tamil
Lorie,1984.0,126.0,6.4,34.0,Drama,hindi
Madurai Veeran,2018.0,121.0,6.3,74.0,"Action, Drama",tamil
Hum Hain Karan Arjun,1994.0,137.0,6.2,9.0,Action,hindi
Kasle Choryo Mero Man,2010.0,138.0,6.8,13.0,"Drama, Romance",nepali
Ko: Yad,2012.0,90.0,7.9,13.0,Drama,hindi
